feature,importance_mean,importance_std
gad4_rep,0.12843023744466375,0.0030904418036399456
phq6_rep,0.0929860007717713,0.002995276647506123
gad6_rep,0.08128223888596212,0.0015410521100663668
gad2_rep,0.07566769577260216,0.001969402841167499
gad1_rep,0.07241237749512046,0.00044547776630607383
phq1_rep,0.0652954829251279,8.662742239644305e-05
gad5_rep,0.06443412491145346,0.0008275007820233576
gad3_rep,0.06126723187430908,0.00030213597240111995
gad7_rep,0.05976540795621196,0.002145066571396112
phq4_rep,0.04455400888185435,0.0007982130633149495
phq8_rep,0.04441300531064059,0.001161317540538151
phq7_rep,0.0363260132135964,0.0009319236997280891
phq2_rep,0.03518315902813555,0.0005865446351841705
phq3_rep,0.03350424145642142,0.0007077171311157399
phq9_rep,0.03284786429620191,0.000851174514043089
phq5_rep,0.03204700656812625,0.00038670152091948434
pcl6_rep,0.013981680699184651,0.0005579153116031521
pcl13_rep,0.011935831316931534,0.00035199074468171207
pcl19_rep,0.011891293044056648,0.0006383670849429181
pcl11_rep,0.01180643114320944,0.0004999744034892735
pcl7_rep,0.011271828329077409,0.0004330140734048332
pcl8_rep,0.011066461053308559,0.00026505924954787347
pcl18_rep,0.010553431458294505,0.00029752170764907673
pcl9_rep,0.010206663884951696,5.553607379562772e-05
pcl16_rep,0.01017677535490713,0.0002635386597737571
pcl1_rep,0.010028847821633779,0.00028613297694764575
pcl20_rep,0.009899868377317243,3.838029857769834e-05
pcl3_rep,0.00985276378909027,0.00032579091274901814
pcl17_rep,0.009663134835530659,3.7194137188421156e-05
pcl14_rep,0.009528632039972978,0.0006014043956788159
pcl5_rep,0.00950026471900994,0.0006012343630284502
pcl12_rep,0.009171202006213387,0.00023856610318724603
pcl15_rep,0.009094250450406658,2.4853167479774868e-05
pcl4_rep,0.009044836208670165,0.0006525920868377805
pcl2_rep,0.008993035411996374,7.712310760289373e-05
pcl10_rep,0.00898407127067543,0.0003749144825291595
