feature,importance_mean,importance_std
gad4_rep,0.1534679042257529,0.0007464958627282359
gad6_rep,0.07284077296610356,0.001285631066795724
phq6_rep,0.06868469836917587,0.0005111773970449818
gad5_rep,0.06807689838167427,0.000948528006538496
gad2_rep,0.06709893504098868,0.00010967697706887325
gad1_rep,0.06241718127175196,0.0012908976124035923
phq1_rep,0.06068635417205874,0.0017356334991552175
gad3_rep,0.05835696366078244,0.0012273900794446263
gad7_rep,0.053390487541458906,0.0009447545849732564
phq8_rep,0.04995180072161508,0.0011729425115148545
phq2_rep,0.04235359807820489,0.001522507742355128
phq7_rep,0.04098622244656169,7.523789425795124e-05
phq4_rep,0.04091036924468892,0.0009418356317084028
phq3_rep,0.03329487212457498,0.0012041033959249992
phq9_rep,0.031284694364090475,8.306451135462606e-05
phq5_rep,0.029899102400558077,0.0012360312810950694
pcl6_rep,0.012599024990830255,6.437474516696531e-05
pcl18_rep,0.011583039965991776,0.0001326896298030622
pcl8_rep,0.011406559034132346,0.000192233749480214
pcl7_rep,0.011267281462006774,0.0006125477815601237
pcl5_rep,0.010349518443528116,0.0005322166351394327
pcl10_rep,0.009489045768464838,0.0004973659064095408
pcl11_rep,0.009480903258824537,0.0006257982679997304
pcl12_rep,0.00930422996085761,0.00014655934281248076
pcl20_rep,0.009231450506078664,9.334191658465565e-05
pcl15_rep,0.008999106886130884,0.00012978635088584795
pcl2_rep,0.008729661695517362,0.00013560182009389118
pcl17_rep,0.00854977904060893,0.0004476304126455992
pcl9_rep,0.008464733193902917,0.00031637096867693365
pcl1_rep,0.008411747746706503,0.0001006718094368024
pcl16_rep,0.00822039229125748,0.00034861678155144807
pcl3_rep,0.008087826226086399,8.254498100677965e-05
pcl19_rep,0.0080022651745804,0.0003083146611975382
pcl14_rep,0.007795780934940377,5.882331242476613e-06
pcl13_rep,0.007665372852695272,9.579810038559677e-05
pcl4_rep,0.007590338434496489,0.00013145509075972867
