feature,importance_mean,importance_std
gad4_rep,0.12153485298405606,0.005957749753713472
phq6_rep,0.09141426947649517,0.0012751802239518023
gad6_rep,0.08664507515347356,0.002955548044849529
gad1_rep,0.07510134518070904,0.0022314539372654055
phq1_rep,0.06741100338799685,0.0012716161741795629
gad2_rep,0.06691754087882373,0.0012708669726217078
gad5_rep,0.06625426059113881,0.0007490485114401493
gad3_rep,0.062102733680329966,0.00038848850069106433
gad7_rep,0.05811400405684921,0.0011689706873124553
phq8_rep,0.05021886812947644,0.0006091702469796512
phq7_rep,0.04417567326358889,0.0017333364038976326
phq4_rep,0.03916668957754758,0.0013740242164061375
phq2_rep,0.03748223047233695,0.002048480571631095
phq3_rep,0.03484581976769307,0.0004763173756037395
phq5_rep,0.03448996539444928,0.00031545952576233355
phq9_rep,0.03327358783964747,0.0008936930713415447
pcl7_rep,0.012790634410453843,6.107453098609314e-05
pcl16_rep,0.012674557790301792,0.00023798776996487164
pcl1_rep,0.011582435119817963,0.0008051185620082599
pcl15_rep,0.011543817799795908,0.00044053457940766705
pcl18_rep,0.01140772769810941,0.0002769357811846021
pcl8_rep,0.011349739850910427,0.000501741532674304
pcl10_rep,0.010915844332579534,0.00028676571180639293
pcl17_rep,0.01049702284650917,0.00022136309870109117
pcl6_rep,0.010366499082670188,0.0008407039561164655
pcl2_rep,0.010288211844239888,0.000654626404649309
pcl12_rep,0.010105694517880213,0.0002680693501058949
pcl13_rep,0.00999813161072552,0.0004191764093622527
pcl5_rep,0.009815068366980796,0.0002914532049494503
pcl14_rep,0.009510178830010516,0.0003461003670054037
pcl20_rep,0.009406424876984551,1.8076186422785745e-05
pcl11_rep,0.009405756538530718,0.00047118308941191886
pcl19_rep,0.009253916791520267,0.00017582806285896396
pcl4_rep,0.008848073389175367,0.000534257212880012
pcl3_rep,0.008702393753103062,1.10910630827174e-05
pcl9_rep,0.008273229362485441,0.00018754923399823611
